Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Symbol_simplified,Exp,Strike Type,Price,cum_qty_es,cum_qty_nq
1/14/22 1:15 PM,FUTURE,SELL,-1,TO OPEN,/ESH22,ES,3/22/23,FUTURE,4614.00,-1,0
1/14/22 3:31 PM,FUTURE,BUY,2,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4648.00,1,0
1/14/22 4:14 PM,FUTURE,SELL,-1,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4659.25,0,0
1/17/22 9:33 AM,FUTURE,SELL,-1,TO OPEN,/ESH22,ES,3/22/23,FUTURE,4656.50,-1,0
1/17/22 10:40 AM,FUTURE,BUY,2,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4660.00,1,0
1/17/22 12:48 PM,FUTURE,SELL,-1,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4652.75,0,0
1/17/22 12:59 PM,FUTURE,BUY,1,TO OPEN,/ESH22,ES,3/22/23,FUTURE,4654.75,1,0
1/18/22 1:53 AM,FUTURE,SELL,-1,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4633.25,0,0
1/18/22 1:58 AM,FUTURE,SELL,-1,TO OPEN,/ESH22,ES,3/22/23,FUTURE,4633.50,-1,0
1/18/22 3:19 AM,FUTURE,BUY,1,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4612.50,0,0
1/18/22 4:07 AM,FUTURE,SELL,-1,TO OPEN,/ESH22,ES,3/22/23,FUTURE,4602.50,-1,0
1/18/22 4:17 AM,FUTURE,BUY,1,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4599.50,0,0
1/19/22 11:48 AM,FUTURE,BUY,1,TO OPEN,/ESH22,ES,3/22/23,FUTURE,4567.75,1,0
1/19/22 11:54 AM,FUTURE,SELL,-1,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4573.75,0,0
1/19/22 3:27 PM,FUTURE,SELL,-1,TO OPEN,/ESH22,ES,3/22/23,FUTURE,4558.25,-1,0
1/19/22 3:30 PM,FUTURE,BUY,1,TO CLOSE,/ESH22,ES,3/22/23,FUTURE,4552.00,0,0
